order_id,customer_id,order_date,status,shipping_cost
O000133,C00840,2025-12-08,Processing,7.99
O000134,C00843,2025-02-07,Delivered,4.99
O000135,C00896,2024-07-08,Delivered,7.99
O000136,C00227,2025-04-25,Delivered,19.99
O000137,C00967,2025-08-10,Delivered,19.99
O000138,C00203,2025-08-06,Returned,0.0
O000139,C00062,2025-01-18,Delivered,12.99
O000140,C00770,2024-03-04,Delivered,0.0
O000141,C00668,2024-11-15,Delivered,19.99
O000142,C00685,2025-12-03,Delivered,0.0
O000143,C00964,2025-03-22,Delivered,4.99
O000144,C00244,2025-02-01,Delivered,0.0
O000145,C00647,2024-08-29,Returned,0.0
O000146,C00155,2024-11-15,Delivered,7.99
O000147,C00533,2025-11-24,Delivered,19.99
O000148,C00603,2025-06-13,Returned,7.99
O000149,C00583,2025-09-18,Delivered,7.99
O000150,C00525,2024-12-15,Delivered,7.99
O000151,C00734,2025-05-10,Delivered,0.0
O000152,C00031,2024-08-14,Shipped,0.0
O000153,C00734,2025-07-12,Delivered,0.0
O000154,C00846,2024-12-06,Returned,4.99
O000155,C00306,2024-12-11,Shipped,0.0
O000156,C00955,2025-05-30,Delivered,0.0
O000157,C00296,2025-12-09,Delivered,0.0
O000158,C00019,2024-02-29,Delivered,0.0
O000159,C00364,2025-10-27,Delivered,12.99
O000160,C00036,2024-09-22,Shipped,0.0
O000161,C00677,2024-12-11,Returned,4.99
O000162,C00753,2024-01-18,Delivered,7.99
O000163,C00034,2024-10-02,Delivered,4.99
O000164,C00196,2025-01-02,Delivered,0.0
O000165,C00567,2024-02-20,Delivered,4.99
O000166,C00285,2024-12-28,Delivered,0.0
O000167,C00197,2025-12-06,Delivered,4.99
O000168,C00559,2024-04-13,Delivered,0.0
O000169,C00028,2025-08-26,Delivered,7.99
O000170,C00295,2024-11-29,Delivered,7.99
O000171,C00116,2025-06-04,Shipped,4.99
O000172,C00908,2024-08-23,Shipped,4.99
O000173,C00128,2024-06-07,Delivered,4.99
O000174,C00123,2024-06-08,Delivered,12.99
O000175,C00182,2024-03-06,Delivered,0.0
O000176,C00307,2024-06-27,Delivered,7.99
O000177,C00689,2025-06-11,Delivered,7.99
O000178,C00780,2025-11-19,Shipped,4.99
O000179,C00615,2025-10-16,Delivered,0.0
O000180,C00385,2025-06-27,Delivered,4.99
O000181,C00734,2024-04-18,Delivered,0.0
O000182,C00772,2024-09-19,Delivered,0.0
O000183,C00039,2024-10-11,Delivered,0.0
O000184,C00656,2024-08-15,Processing,0.0
O000185,C00103,2025-01-12,Delivered,4.99
O000186,C00827,2025-01-29,Delivered,12.99
O000187,C00396,2024-11-10,Delivered,0.0
O000188,C00079,2024-11-09,Returned,19.99
O000189,C00784,2025-11-01,Delivered,19.99
O000190,C00761,2025-09-20,Delivered,19.99
O000191,C00771,2024-10-09,Cancelled,12.99
O000192,C00684,2025-12-01,Delivered,4.99
O000193,C00469,2025-12-15,Delivered,0.0
O000194,C00548,2024-10-29,Delivered,7.99
O000195,C00077,2024-11-10,Delivered,7.99
O000196,C00550,2025-01-05,Delivered,12.99
O000197,C00075,2025-12-11,Delivered,19.99
O000198,C00954,2025-11-18,Delivered,4.99
O000199,C00668,2024-04-10,Delivered,4.99
O000200,C00035,2024-11-23,Delivered,0.0
O000201,C00879,2025-02-17,Delivered,0.0
O000202,C00974,2025-01-03,Delivered,4.99
O000203,C00458,2024-07-03,Returned,7.99
O000204,C00137,2025-11-11,Delivered,12.99
O000205,C00166,2025-06-21,Delivered,4.99
O000206,C00344,2025-11-04,Delivered,12.99
O000207,C00466,2025-11-11,Delivered,7.99
O000208,C00873,2025-08-14,Delivered,12.99
O000209,C00949,2024-12-10,Delivered,0.0
O000210,C00679,2025-04-19,Delivered,12.99
O000211,C00643,2024-06-08,Delivered,7.99
O000212,C00336,2025-06-18,Shipped,0.0
O000213,C00489,2024-06-22,Delivered,0.0
O000214,C00192,2025-07-03,Delivered,19.99
O000215,C00492,2024-07-30,Delivered,0.0
O000216,C00865,2024-04-26,Delivered,4.99
O000217,C00970,2024-06-11,Delivered,4.99
O000218,C00931,2024-01-02,Delivered,7.99
O000219,C00002,2025-07-22,Delivered,12.99
O000220,C00629,2025-08-02,Shipped,4.99
O000221,C00213,2025-01-12,Cancelled,4.99
O000222,C00649,2024-06-08,Delivered,19.99
O000223,C00306,2024-03-20,Delivered,7.99
O000224,C00220,2024-01-16,Cancelled,12.99
O000225,C00650,2024-06-12,Delivered,4.99
O000226,C00842,2025-11-23,Delivered,0.0
O000227,C00162,2024-08-08,Delivered,4.99
O000228,C00863,2024-11-09,Delivered,7.99
O000229,C00246,2024-04-13,Delivered,0.0
O000230,C00819,2024-07-25,Delivered,0.0
O000231,C00060,2025-01-16,Delivered,0.0
O000232,C00819,2025-04-16,Delivered,4.99
O000233,C00117,2024-08-11,Shipped,12.99
O000234,C00276,2024-02-22,Delivered,0.0
O000235,C00907,2024-11-23,Delivered,7.99
O000236,C00624,2024-08-03,Delivered,19.99
O000237,C00081,2024-07-23,Delivered,0.0
O000238,C00801,2025-12-17,Shipped,7.99
O000239,C00362,2025-04-25,Delivered,19.99
O000240,C00446,2025-02-20,Delivered,19.99
O000241,C00227,2024-12-01,Delivered,0.0
O000242,C00256,2024-12-06,Delivered,0.0
O000243,C00735,2025-02-03,Delivered,0.0
O000244,C00868,2025-07-05,Delivered,7.99
O000245,C00288,2025-07-10,Delivered,7.99
O000246,C00778,2024-06-16,Delivered,7.99
O000247,C00830,2024-12-31,Delivered,4.99
O000248,C00626,2024-11-30,Delivered,0.0
O000249,C00911,2025-11-15,Cancelled,7.99
O000250,C00505,2025-05-11,Shipped,4.99
O000251,C00441,2025-01-27,Returned,7.99
O000252,C00395,2024-04-23,Processing,4.99
O000253,C00114,2025-04-13,Delivered,4.99
O000254,C00521,2024-04-25,Delivered,0.0
O000255,C00402,2024-11-03,Delivered,0.0
O000256,C00942,2024-05-23,Cancelled,0.0
O000257,C00350,2025-07-02,Delivered,0.0
O000258,C00984,2024-07-13,Processing,4.99
O000259,C00577,2024-11-23,Delivered,0.0
O000260,C00260,2025-11-24,Shipped,0.0
O000261,C00183,2024-07-11,Delivered,7.99
O000262,C00474,2025-01-07,Delivered,4.99
O000263,C00738,2024-12-03,Shipped,7.99
O000264,C00422,2024-01-15,Delivered,7.99
O000265,C00571,2025-09-23,Shipped,7.99
O000266,C00653,2024-03-05,Delivered,19.99
O000267,C00113,2024-12-22,Delivered,0.0
O000268,C00689,2025-02-24,Delivered,7.99
O000269,C00819,2025-05-08,Delivered,19.99
O000270,C00259,2025-06-29,Delivered,12.99
O000271,C00486,2024-08-17,Delivered,0.0
O000272,C00948,2024-01-09,Delivered,4.99
O000273,C00862,2025-07-26,Delivered,0.0
O000274,C00805,2025-01-29,Delivered,7.99
O000275,C00074,2025-11-03,Delivered,7.99
O000276,C00236,2025-10-24,Shipped,4.99
O000277,C00075,2025-11-06,Delivered,4.99
O000278,C00303,2024-12-26,Delivered,7.99
O000279,C00710,2024-11-02,Delivered,4.99
O000280,C00815,2025-09-22,Delivered,12.99
O000281,C00445,2024-12-14,Delivered,7.99
O000282,C00131,2024-06-25,Processing,0.0
O000283,C00739,2025-11-10,Cancelled,7.99
O000284,C00819,2025-11-20,Delivered,0.0
O000285,C00307,2024-12-19,Delivered,7.99
O000286,C00828,2024-03-12,Cancelled,19.99
O000287,C00363,2024-11-21,Delivered,12.99
O000288,C00255,2025-10-05,Delivered,4.99
O000289,C00574,2025-11-27,Delivered,0.0
O000290,C00870,2024-07-10,Delivered,0.0
O000291,C00546,2024-03-03,Returned,4.99
O000292,C00676,2025-11-18,Delivered,0.0
O000293,C00531,2024-11-22,Delivered,4.99
O000294,C00197,2025-02-04,Delivered,0.0
O000295,C00957,2025-12-20,Shipped,4.99
O000296,C00828,2024-03-02,Cancelled,0.0
O000297,C00393,2025-05-29,Delivered,19.99
O000298,C00375,2024-03-10,Delivered,7.99
O000299,C00054,2024-11-17,Delivered,4.99
O000300,C00859,2025-10-05,Shipped,0.0
O000301,C00426,2024-12-08,Shipped,4.99
O000302,C00341,2025-12-30,Delivered,0.0
O000303,C00239,2025-02-23,Delivered,4.99
O000304,C00178,2024-10-23,Delivered,12.99
O000305,C00163,2024-07-23,Delivered,7.99
O000306,C00858,2024-11-08,Delivered,7.99
O000307,C00003,2024-11-16,Delivered,4.99
O000308,C00634,2024-03-05,Delivered,19.99
O000309,C00863,2024-11-15,Delivered,19.99
O000310,C00516,2024-12-19,Delivered,4.99
O000311,C00336,2025-07-25,Delivered,4.99
O000312,C00158,2025-06-05,Delivered,4.99
O000313,C00894,2025-07-15,Delivered,0.0
O000314,C00151,2024-01-07,Delivered,7.99
O000315,C00978,2024-07-21,Delivered,4.99
O000316,C00344,2025-06-09,Delivered,0.0
O000317,C00694,2024-12-26,Cancelled,0.0
O000318,C00137,2024-01-05,Shipped,4.99
O000319,C00046,2025-10-06,Cancelled,12.99
O000320,C00584,2025-09-02,Delivered,7.99
O000321,C00312,2025-02-11,Delivered,7.99
O000322,C00100,2024-03-02,Delivered,4.99
O000323,C00133,2025-08-28,Delivered,7.99
O000324,C00610,2025-03-21,Delivered,4.99
O000325,C00883,2025-09-12,Delivered,7.99
O000326,C00789,2025-08-17,Shipped,0.0
O000327,C00206,2025-10-04,Delivered,4.99
O000328,C00576,2025-01-15,Cancelled,0.0
O000329,C00112,2024-05-20,Cancelled,4.99
O000330,C00625,2025-06-16,Delivered,19.99
O000331,C00922,2025-04-29,Shipped,0.0
O000332,C00080,2025-08-09,Delivered,4.99
O000333,C00357,2024-06-15,Shipped,4.99
O000334,C00491,2024-07-04,Delivered,12.99
O000335,C00412,2025-11-23,Shipped,4.99
O000336,C00230,2025-08-15,Delivered,7.99
O000337,C00581,2025-11-29,Returned,12.99
O000338,C00537,2025-08-22,Delivered,4.99
O000339,C00212,2025-04-04,Delivered,4.99
O000340,C00633,2025-06-03,Shipped,4.99
O000341,C00124,2025-11-22,Shipped,12.99
O000342,C00121,2025-03-16,Delivered,0.0
O000343,C00213,2025-05-12,Delivered,4.99
O000344,C00744,2024-06-05,Delivered,7.99
O000345,C00238,2024-12-22,Returned,7.99
O000346,C00287,2025-07-21,Shipped,4.99
O000347,C00809,2024-08-31,Shipped,4.99
O000348,C00530,2024-07-09,Delivered,0.0
O000349,C00299,2024-10-15,Delivered,4.99
O000350,C00120,2024-08-08,Delivered,4.99
O000351,C00988,2024-07-19,Shipped,12.99
O000352,C00420,2024-12-05,Delivered,0.0
O000353,C00766,2025-11-29,Cancelled,12.99
O000354,C00581,2025-01-06,Delivered,7.99
O000355,C00918,2024-06-29,Delivered,0.0
O000356,C00014,2024-03-13,Delivered,7.99
O000357,C00194,2025-07-05,Delivered,0.0
O000358,C00809,2024-11-20,Delivered,19.99
O000359,C00362,2025-10-24,Delivered,12.99
O000360,C00886,2025-06-07,Delivered,0.0
O000361,C00205,2025-09-27,Shipped,0.0
O000362,C00172,2024-09-01,Delivered,4.99
O000363,C00684,2025-07-02,Delivered,4.99
O000364,C00442,2024-08-26,Delivered,4.99
O000365,C00806,2025-12-10,Delivered,4.99
O000366,C00669,2025-05-16,Shipped,7.99
O000367,C00114,2024-10-27,Delivered,0.0
O000368,C00017,2024-08-30,Shipped,12.99
O000369,C00526,2024-07-01,Delivered,12.99
O000370,C00178,2025-07-04,Delivered,4.99
O000371,C00450,2024-07-22,Delivered,12.99
O000372,C00709,2025-04-02,Delivered,0.0
O000373,C00704,2024-08-26,Delivered,0.0
O000374,C00627,2025-06-09,Shipped,7.99
O000375,C00358,2025-10-17,Delivered,4.99
O000376,C00210,2025-09-08,Delivered,7.99
O000377,C00555,2025-08-23,Delivered,12.99
O000378,C00945,2024-06-28,Delivered,19.99
O000379,C00565,2024-03-26,Delivered,7.99
O000380,C00805,2025-07-07,Delivered,7.99
O000381,C00496,2024-11-15,Delivered,0.0
O000382,C00291,2024-12-07,Delivered,0.0
O000383,C00006,2024-01-26,Delivered,7.99
O000384,C00775,2024-08-22,Cancelled,4.99
O000385,C00271,2024-01-28,Delivered,4.99
O000386,C00061,2025-11-19,Delivered,4.99
O000387,C00285,2024-08-10,Processing,7.99
O000388,C00327,2025-02-21,Delivered,0.0
O000389,C00690,2024-02-02,Delivered,7.99
O000390,C00501,2025-06-13,Delivered,0.0
O000391,C00048,2024-10-25,Delivered,0.0
O000392,C00940,2025-11-25,Delivered,4.99
O000393,C00124,2025-11-22,Returned,0.0
O000394,C00814,2024-10-28,Delivered,12.99
O000395,C00132,2025-11-26,Shipped,0.0
O000396,C00278,2025-12-30,Delivered,0.0
O000397,C00232,2025-10-28,Delivered,4.99
O000398,C00154,2025-11-06,Delivered,4.99
O000399,C00437,2024-08-14,Cancelled,0.0
O000400,C00113,2025-03-14,Returned,0.0
O000401,C00032,2024-03-03,Delivered,19.99
O000402,C00480,2024-04-01,Returned,7.99
O000403,C00278,2025-12-31,Delivered,4.99
O000404,C00604,2024-10-29,Delivered,4.99
O000405,C00597,2025-08-14,Delivered,0.0
O000406,C00533,2025-10-08,Delivered,4.99
O000407,C00920,2025-11-11,Delivered,7.99
O000408,C00483,2025-12-31,Delivered,12.99
O000409,C00846,2024-08-08,Delivered,0.0
O000410,C00493,2024-02-03,Delivered,12.99
O000411,C00544,2024-11-30,Delivered,0.0
O000412,C00382,2024-05-09,Processing,0.0
O000413,C00502,2024-01-19,Delivered,0.0
O000414,C00752,2024-11-12,Delivered,0.0
O000415,C00619,2025-09-14,Delivered,12.99
O000416,C00046,2025-03-02,Delivered,4.99
O000417,C00928,2024-10-14,Shipped,0.0
O000418,C00843,2025-06-03,Delivered,19.99
O000419,C00793,2024-08-01,Shipped,12.99
O000420,C00276,2024-01-12,Delivered,7.99
O000421,C00585,2025-08-26,Delivered,19.99
O000422,C00578,2025-05-03,Delivered,0.0
O000423,C00245,2025-08-25,Delivered,12.99
O000424,C00702,2024-02-02,Delivered,7.99
O000425,C00442,2025-11-04,Delivered,12.99
O000426,C00885,2025-04-28,Delivered,7.99
O000427,C00170,2025-02-27,Delivered,4.99
O000428,C00439,2025-05-04,Processing,7.99
O000429,C00362,2025-11-13,Delivered,0.0
O000430,C00894,2025-03-24,Delivered,4.99
O000431,C00073,2025-03-18,Delivered,0.0
O000432,C00251,2025-12-28,Delivered,19.99
O000433,C00772,2025-08-20,Delivered,0.0
O000434,C00931,2024-12-11,Cancelled,4.99
O000435,C00567,2025-07-14,Returned,4.99
O000436,C00498,2024-11-22,Delivered,19.99
O000437,C00092,2024-07-30,Delivered,4.99
O000438,C00512,2025-04-04,Delivered,7.99
O000439,C00231,2025-12-06,Delivered,12.99
O000440,C00533,2025-12-06,Delivered,4.99
O000441,C00624,2024-11-05,Delivered,4.99
O000442,C00914,2025-01-23,Delivered,7.99
O000443,C00325,2024-07-17,Delivered,12.99
O000444,C00160,2025-12-30,Delivered,7.99
O000445,C00150,2025-12-25,Delivered,0.0
O000446,C00251,2025-05-30,Delivered,12.99
O000447,C00079,2025-10-06,Delivered,4.99
O000448,C00863,2025-07-20,Cancelled,7.99
O000449,C00210,2025-03-31,Delivered,12.99
O000450,C00230,2024-02-17,Shipped,0.0
O000451,C00347,2024-12-15,Delivered,7.99
O000452,C00791,2025-06-19,Delivered,7.99
O000453,C00177,2025-06-21,Delivered,12.99
O000454,C00809,2024-11-16,Delivered,0.0
O000455,C00731,2025-12-11,Returned,4.99
O000456,C00287,2024-06-13,Delivered,12.99
O000457,C00822,2024-12-31,Delivered,0.0
O000458,C00535,2025-07-01,Delivered,0.0
O000459,C00507,2025-07-06,Returned,19.99
O000460,C00779,2025-05-29,Delivered,0.0
O000461,C00602,2024-09-04,Returned,19.99
O000462,C00992,2024-06-04,Cancelled,0.0
O000463,C00667,2025-05-16,Delivered,4.99
O000464,C00294,2025-04-07,Shipped,7.99
O000465,C00985,2024-06-22,Processing,7.99
O000466,C00095,2025-07-12,Delivered,7.99
O000467,C00749,2024-12-15,Delivered,4.99
O000468,C00009,2025-06-14,Delivered,12.99
O000469,C00477,2025-11-04,Delivered,0.0
O000470,C00262,2024-06-15,Delivered,4.99
O000471,C00593,2024-01-16,Delivered,0.0
O000472,C00140,2025-09-09,Delivered,7.99
O000473,C00540,2025-04-18,Delivered,0.0
O000474,C00887,2025-07-08,Delivered,4.99
O000475,C00450,2025-11-04,Cancelled,4.99
O000476,C00148,2025-10-04,Delivered,0.0
O000477,C00173,2025-12-18,Delivered,0.0
O000478,C00302,2025-01-30,Delivered,7.99
O000479,C00798,2024-12-27,Delivered,4.99
O000480,C00227,2024-11-26,Returned,12.99
O000481,C00169,2024-06-02,Delivered,7.99
O000482,C00940,2025-03-09,Delivered,0.0
O000483,C00104,2024-09-06,Returned,7.99
O000484,C00792,2025-12-04,Returned,0.0
O000485,C00956,2025-03-20,Shipped,7.99
O000486,C00353,2025-03-31,Shipped,19.99
O000487,C00353,2024-11-10,Delivered,4.99
O000488,C00017,2024-02-16,Delivered,7.99
O000489,C00262,2024-01-27,Delivered,0.0
O000490,C00637,2024-12-04,Delivered,4.99
O000491,C00779,2024-03-21,Shipped,12.99
O000492,C00971,2025-04-15,Delivered,0.0
O000493,C00961,2025-11-19,Delivered,0.0
O000494,C00582,2025-11-20,Returned,4.99
O000495,C00609,2025-06-07,Delivered,7.99
O000496,C00072,2024-07-16,Processing,4.99
O000497,C00841,2025-11-13,Processing,19.99
O000498,C00773,2025-11-21,Delivered,0.0
O000499,C00494,2024-07-05,Delivered,4.99
O000500,C00704,2025-08-06,Delivered,7.99
O000501,C00744,2024-09-16,Delivered,0.0
O000502,C00377,2025-10-04,Delivered,7.99
O000503,C00131,2025-12-31,Delivered,0.0
O000504,C00217,2024-01-25,Processing,0.0
O000505,C00041,2025-11-25,Delivered,0.0
O000506,C00104,2025-05-02,Shipped,19.99
O000507,C00886,2025-12-22,Delivered,7.99
O000508,C00363,2024-12-19,Delivered,7.99
O000509,C00781,2025-11-07,Cancelled,4.99
O000510,C00546,2024-02-27,Delivered,7.99
O000511,C00411,2024-11-03,Delivered,4.99
O000512,C00694,2024-03-03,Delivered,19.99
O000513,C00408,2025-12-23,Delivered,7.99
O000514,C00051,2025-10-19,Delivered,7.99
O000515,C00356,2025-11-09,Delivered,0.0
O000516,C00139,2025-12-09,Delivered,4.99
O000517,C00393,2024-03-22,Returned,4.99
O000518,C00437,2024-11-21,Returned,19.99
O000519,C00059,2024-03-07,Delivered,0.0
O000520,C00656,2024-07-16,Cancelled,0.0
O000521,C00638,2024-07-30,Delivered,4.99
O000522,C00827,2024-12-20,Delivered,0.0
O000523,C00035,2024-08-29,Delivered,0.0
O000524,C00781,2024-04-08,Delivered,12.99
O000525,C00294,2024-06-13,Delivered,7.99
O000526,C00384,2024-05-27,Delivered,12.99
O000527,C00680,2025-12-22,Delivered,12.99
O000528,C00801,2025-08-22,Shipped,0.0
O000529,C00059,2025-12-20,Delivered,4.99
O000530,C00740,2024-12-10,Delivered,0.0
O000531,C00777,2024-09-07,Cancelled,12.99
O000532,C00332,2025-09-29,Delivered,4.99
O000533,C00015,2024-10-29,Delivered,4.99
O000534,C00325,2024-09-30,Shipped,4.99
O000535,C00702,2024-08-02,Delivered,4.99
O000536,C00747,2024-05-09,Delivered,0.0
O000537,C00602,2024-08-20,Delivered,4.99
O000538,C00415,2024-11-10,Cancelled,7.99
O000539,C00121,2025-06-18,Delivered,12.99
O000540,C00456,2024-02-27,Cancelled,4.99
O000541,C00222,2024-07-16,Delivered,4.99
O000542,C00609,2025-10-11,Delivered,12.99
O000543,C00186,2024-05-27,Shipped,0.0
O000544,C00065,2024-11-05,Delivered,12.99
O000545,C00329,2025-11-13,Delivered,0.0
O000546,C00085,2024-06-03,Delivered,7.99
O000547,C00889,2024-03-19,Shipped,7.99
O000548,C00197,2024-12-26,Delivered,7.99
O000549,C00720,2024-10-03,Delivered,12.99
O000550,C00874,2025-02-27,Delivered,0.0
O000551,C00513,2025-10-05,Cancelled,4.99
O000552,C00462,2024-05-17,Delivered,4.99
O000553,C00505,2025-03-18,Delivered,12.99
O000554,C00002,2025-01-05,Delivered,0.0
O000555,C00602,2024-05-24,Delivered,12.99
O000556,C00402,2025-05-03,Delivered,4.99
O000557,C00678,2024-09-02,Delivered,0.0
O000558,C00936,2024-12-27,Delivered,7.99
O000559,C00171,2024-03-19,Shipped,0.0
O000560,C00464,2024-12-17,Shipped,4.99
O000561,C00521,2024-10-07,Delivered,0.0
O000562,C00521,2025-10-25,Cancelled,4.99
O000563,C00596,2024-02-21,Delivered,7.99
O000564,C00252,2024-12-02,Cancelled,7.99
O000565,C00185,2024-12-17,Delivered,4.99
O000566,C00613,2025-07-27,Delivered,4.99
O000567,C00319,2025-03-11,Cancelled,0.0
O000568,C00054,2025-06-13,Cancelled,4.99
O000569,C00485,2025-09-07,Delivered,19.99
O000570,C00225,2025-11-12,Delivered,12.99
O000571,C00470,2024-10-15,Delivered,0.0
O000572,C00880,2025-01-31,Delivered,0.0
O000573,C00578,2025-11-05,Delivered,19.99
O000574,C00093,2025-12-28,Delivered,4.99
O000575,C00408,2025-11-22,Cancelled,4.99
O000576,C00984,2024-11-16,Delivered,7.99
O000577,C00672,2024-07-04,Delivered,4.99
O000578,C00489,2024-12-28,Delivered,4.99
O000579,C00708,2025-08-09,Delivered,19.99
O000580,C00201,2024-12-29,Delivered,7.99
O000581,C00620,2024-12-25,Delivered,0.0
