product_id,name,category,sub_category,price,cost
P00087,Yeah Clothing,Sports,Clothing,117.6,94.86
P00088,Report Footwear,Sports,Footwear,15.01,10.59
P00089,Read Footwear,Sports,Footwear,185.57,113.35
P00090,Simple Footwear,Sports,Footwear,335.08,223.58
P00091,Here Footwear,Sports,Footwear,86.94,54.88
P00092,Style Footwear,Sports,Footwear,315.53,198.9
P00093,Marriage Footwear,Sports,Footwear,320.92,231.76
P00094,Successful Nutrition,Sports,Nutrition,222.34,178.99
P00095,Three Nutrition,Sports,Nutrition,40.98,25.29
P00096,Color Nutrition,Sports,Nutrition,302.38,193.7
P00097,Pretty Nutrition,Sports,Nutrition,193.82,163.28
P00098,Despite Nutrition,Sports,Nutrition,298.47,253.63
P00099,Fear Nutrition,Sports,Nutrition,91.51,63.93
P00100,Rock Nutrition,Sports,Nutrition,205.9,125.02
P00101,So Skincare,Beauty,Skincare,79.35,51.79
P00102,Before Skincare,Beauty,Skincare,377.84,244.5
P00103,Region Skincare,Beauty,Skincare,132.87,94.15
P00104,Meeting Skincare,Beauty,Skincare,250.89,182.95
P00105,Carry Skincare,Beauty,Skincare,567.15,344.77
P00106,Consumer Skincare,Beauty,Skincare,183.48,125.63
P00107,Decision Haircare,Beauty,Haircare,373.63,245.8
P00108,Close Haircare,Beauty,Haircare,475.6,379.3
P00109,Police Haircare,Beauty,Haircare,130.78,88.35
P00110,Million Haircare,Beauty,Haircare,82.92,67.04
P00111,Blood Haircare,Beauty,Haircare,39.89,34.65
P00112,Student Haircare,Beauty,Haircare,264.71,182.95
P00113,Just Makeup,Beauty,Makeup,151.95,120.05
P00114,Yes Makeup,Beauty,Makeup,426.8,284.25
P00115,Minute Makeup,Beauty,Makeup,275.35,184.34
P00116,Floor Makeup,Beauty,Makeup,571.16,369.94
P00117,Easy Makeup,Beauty,Makeup,372.96,251.9
P00118,Determine Makeup,Beauty,Makeup,509.33,373.8
P00119,Onto Fragrance,Beauty,Fragrance,324.39,220.1
P00120,Anyone Fragrance,Beauty,Fragrance,568.77,363.82
